,Fetal Death Rate,Fetal Deaths,Region,Total Livebirths,Year
0,0.005682177128764723,9624.0,Philippines,1684093.0,2001
1,0.005659270464401989,9338.0,Philippines,1640698.0,2002
2,0.00531543576516245,8985.0,Philippines,1681375.0,2003
3,0.00514173877665173,8935.0,Philippines,1728804.0,2004
4,0.0058875088233002245,10351.0,Philippines,1747778.0,2005
5,0.004740000493166284,8458.0,Philippines,1775930.0,2006
6,0.0043824121404212385,8191.0,Philippines,1860871.0,2007
7,0.004313557064267638,8306.0,Philippines,1917251.0,2008
8,0.004200389696729044,8043.0,Philippines,1906779.3333333333,2009
9,0.004234296704850602,8095.0,Philippines,1903674.6666666667,2010
0,5.632427764113925e-05,3.0,ARMM,53260.0,2001
1,0.00010215548064153642,5.0,ARMM,48940.0,2002
2,0.00022425392444367777,13.0,ARMM,57957.0,2003
3,4.994589195038708e-05,3.0,ARMM,60062.0,2004
4,0.0001676216018529806,11.0,ARMM,65613.0,2005
5,0.00022077329526220508,15.0,ARMM,67928.0,2006
6,9.799529622578117e-05,7.0,ARMM,71425.0,2007
7,0.00010065171988626355,8.0,ARMM,79474.0,2008
8,0.0,0.0,ARMM,80833.0,2009
9,6.879566312139683e-05,5.0,ARMM,72674.0,2010
10,0.003636482767658236,111.0,CAR,30413.0,2001
11,0.005114149145970519,153.0,CAR,29764.0,2002
12,0.0037491705374917052,113.0,CAR,30027.0,2003
13,0.004379785604900459,143.0,CAR,32507.0,2004
14,0.005098729952720868,165.0,CAR,32196.0,2005
15,0.0038535645472061657,118.0,CAR,30503.0,2006
16,0.0033673335948738066,103.0,CAR,30485.0,2007
17,0.003998686998299066,134.0,CAR,33377.0,2008
18,0.0027413354219698455,98.0,CAR,35651.0,2009
19,0.0036620942213394575,118.0,CAR,32104.0,2010
20,0.002848291025384769,114.0,Region 13,39910.0,2001
21,0.0026821748176371796,107.0,Region 13,39786.0,2002
22,0.0024396254312469196,99.0,Region 13,40481.0,2003
23,0.0022517816932469763,97.0,Region 13,42980.0,2004
24,0.0026565208581913143,118.0,Region 13,44301.0,2005
25,0.0020551828404044223,87.0,Region 13,42245.0,2006
26,0.0019029043076996266,80.0,Region 13,41961.0,2007
27,0.0020193521245267143,96.0,Region 13,47444.0,2008
28,0.00209259743656814,104.0,Region 13,49595.0,2009
29,0.0019480394236889309,101.0,Region 13,51746.0,2010
30,0.00963583756479308,2188.0,NCR,224881.0,2001
31,0.009507208224757873,2138.0,NCR,222744.0,2002
32,0.011057984414212125,2093.0,NCR,187182.0,2003
33,0.011379321080542555,2193.0,NCR,190525.0,2004
34,0.013934121658542983,2550.0,NCR,180454.0,2005
35,0.009136497285206631,2026.0,NCR,219722.0,2006
36,0.007924916272112326,1796.0,NCR,224831.0,2007
37,0.00750183493261407,1666.0,NCR,220413.0,2008
38,0.007410586802848608,1692.0,NCR,226630.0,2009
39,0.006437557401909481,1507.0,NCR,232588.0,2010
40,0.006669227650084299,625.0,Region 1,93089.0,2001
41,0.006617788102900744,621.0,Region 1,93217.0,2002
42,0.006926283769736626,633.0,Region 1,90758.0,2003
43,0.00628296700381011,592.0,Region 1,93631.0,2004
44,0.007249970979009909,687.0,Region 1,94072.0,2005
45,0.006123082522453087,572.0,Region 1,92845.0,2006
46,0.005371743187371764,521.0,Region 1,96468.0,2007
47,0.005958689088400552,596.0,Region 1,99426.0,2008
48,0.005593718306619408,535.0,Region 1,95108.0,2009
49,0.005914748205197873,566.0,Region 1,95127.0,2010
50,0.00328845667388066,234.0,Region 10,70924.0,2001
51,0.005018659117230729,312.0,Region 10,61856.0,2002
52,0.005262360869236011,417.0,Region 10,78825.0,2003
53,0.004482974961501169,393.0,Region 10,87272.0,2004
54,0.005025803972877272,484.0,Region 10,95819.0,2005
55,0.004782560338115894,430.0,Region 10,89480.0,2006
56,0.003530745559574583,327.0,Region 10,92288.0,2007
57,0.004486971564493459,415.0,Region 10,92075.0,2008
58,0.0036831826094340424,347.0,Region 10,93865.0,2009
59,0.0035220021546366123,340.0,Region 10,96196.0,2010
60,0.003672381390710697,383.0,Region 11,103909.0,2001
61,0.005433458059151578,379.0,Region 11,69374.0,2002
62,0.0030195807172501863,227.0,Region 11,74949.0,2003
63,0.0027694131021054795,229.0,Region 11,82460.0,2004
64,0.003478083541980582,307.0,Region 11,87960.0,2005
65,0.0032252324391654433,290.0,Region 11,89626.0,2006
66,0.0029774704734178052,270.0,Region 11,90411.0,2007
67,0.0029725253726272877,280.0,Region 11,93916.0,2008
68,0.0029476324866729384,282.0,Region 11,95388.0,2009
69,0.003463265015945238,341.0,Region 11,98121.0,2010
70,0.0033145986453379447,161.0,Region 12,48412.0,2001
71,0.002645245365958026,136.0,Region 12,51277.0,2002
72,0.002478524151527954,176.0,Region 12,70834.0,2003
73,0.00290722289649722,206.0,Region 12,70652.0,2004
74,0.0034718527189528574,261.0,Region 12,74915.0,2005
75,0.002558846952230505,196.0,Region 12,76401.0,2006
76,0.0024342917622155584,207.0,Region 12,84828.0,2007
77,0.0021132615825211324,183.0,Region 12,86413.0,2008
78,0.0024022763317473645,206.0,Region 12,85546.0,2009
79,0.0017765144785930006,160.0,Region 12,89904.0,2010
80,0.002220876236624268,132.0,Region 2,59304.0,2001
81,0.002250134336378291,134.0,Region 2,59418.0,2002
82,0.0022923365914228407,144.0,Region 2,62674.0,2003
83,0.0024669492061483965,156.0,Region 2,63080.0,2004
84,0.0025692702964660993,167.0,Region 2,64832.0,2005
85,0.0024174053182917004,153.0,Region 2,63138.0,2006
86,0.0018693807305421204,126.0,Region 2,67276.0,2007
87,0.002346041055718475,160.0,Region 2,68040.0,2008
88,0.002025331317786225,138.0,Region 2,67999.0,2009
89,0.002597783811550598,177.0,Region 2,67958.0,2010
90,0.004415463437354448,711.0,Region 3,160314.0,2001
91,0.00415798116744168,752.0,Region 3,180105.0,2002
92,0.003606566515231751,647.0,Region 3,178748.0,2003
93,0.0031267353381126527,625.0,Region 3,199264.0,2004
94,0.0031212311005057117,603.0,Region 3,192590.0,2005
95,0.002798488511468216,551.0,Region 3,196341.0,2006
96,0.002686169829363344,559.0,Region 3,207544.0,2007
97,0.002761904319078993,594.0,Region 3,214475.0,2008
98,0.0025152730280501314,520.0,Region 3,206217.0,2009
99,0.002589083276403204,523.0,Region 3,201479.0,2010
100,0.008243208186852017,1843.0,Region 4A,221735.0,2001
101,0.00811727915899665,1830.0,Region 4A,223615.0,2002
102,0.007132149374266637,1708.0,Region 4A,237771.0,2003
103,0.006915996503096407,1511.0,Region 4A,216968.0,2004
104,0.007788284677789257,1681.0,Region 4A,214156.0,2005
105,0.006133591054367269,1447.0,Region 4A,234467.0,2006
106,0.006207062793780885,1545.0,Region 4A,247365.0,2007
107,0.006013417910685045,1513.0,Region 4A,250091.0,2008
108,0.006103569952633754,1536.0,Region 4A,250120.0,2009
109,0.006790899455249082,1653.0,Region 4A,241761.0,2010
110,0.005599848139711466,295.0,Region 4B,52385.0,2001
111,0.005520161823921962,292.0,Region 4B,52605.0,2002
112,0.0054487695029757114,271.0,Region 4B,49465.0,2003
113,0.0046689768374977205,256.0,Region 4B,54574.0,2004
114,0.004762084734872822,252.0,Region 4B,52666.0,2005
115,0.004350659306961055,227.0,Region 4B,51949.0,2006
116,0.004030216891865582,207.0,Region 4B,51155.0,2007
117,0.0036936408999698116,208.0,Region 4B,56105.0,2008
118,0.003298259347946215,191.0,Region 4B,57718.333333333336,2009
119,0.004129064022872105,246.0,Region 4B,59331.666666666664,2010
120,0.005244403837368661,574.0,Region 5,108876.0,2001
121,0.005396678548429521,595.0,Region 5,109658.0,2002
122,0.005018152621657474,575.0,Region 5,114009.0,2003
123,0.004322528461719097,497.0,Region 5,114482.0,2004
124,0.0055191068623415464,657.0,Region 5,118384.0,2005
125,0.004239929071165849,483.0,Region 5,113434.0,2006
126,0.004506760140210316,522.0,Region 5,115304.0,2007
127,0.0042600030248542186,507.0,Region 5,118507.0,2008
128,0.0042969989622018475,501.0,Region 5,116092.0,2009
129,0.003820146508004906,461.0,Region 5,120215.0,2010
130,0.005751302546342821,744.0,Region 6,128618.0,2001
131,0.0031855209356873434,402.0,Region 6,125794.0,2002
132,0.0032864650348024245,424.0,Region 6,128590.0,2003
133,0.004955342127882208,663.0,Region 6,133132.0,2004
134,0.005459297983569828,731.0,Region 6,133169.0,2005
135,0.004213657206593134,544.0,Region 6,128560.0,2006
136,0.003798484947146795,525.0,Region 6,137688.0,2007
137,0.003868167378683317,565.0,Region 6,145499.0,2008
138,0.004188520905140117,559.0,Region 6,132901.0,2009
139,0.0039921686194132585,522.0,Region 6,130234.0,2010
140,0.007581148790937477,1044.0,Region 7,136666.0,2001
141,0.008135603568675636,1066.0,Region 7,129963.0,2002
142,0.007636097371449066,1022.0,Region 7,132816.0,2003
143,0.00692426493730832,946.0,Region 7,135675.0,2004
144,0.008789374869619638,1264.0,Region 7,142546.0,2005
145,0.007054086155450621,974.0,Region 7,137102.0,2006
146,0.006914320267108342,1052.0,Region 7,151096.0,2007
147,0.006622516556291391,1002.0,Region 7,150300.0,2008
148,0.006563491326103981,989.0,Region 7,149693.0,2009
149,0.006576799291011707,987.0,Region 7,149086.0,2010
150,0.003174796996153611,260.0,Region 8,81635.0,2001
151,0.0025906735751295338,217.0,Region 8,83545.0,2002
152,0.002550738855846465,208.0,Region 8,81337.0,2003
153,0.0023547004731720384,211.0,Region 8,89397.0,2004
154,0.002318789854200619,212.0,Region 8,91215.0,2005
155,0.002089970689435453,164.0,Region 8,78306.0,2006
156,0.002134434374890654,183.0,Region 8,85554.0,2007
157,0.002191252519940398,200.0,Region 8,91072.0,2008
158,0.002052569806479788,188.0,Region 8,91404.5,2009
159,0.0021754027214288046,200.0,Region 8,91737.0,2010
160,0.002887199130981648,202.0,Region 9,69762.0,2001
161,0.00335944358160578,199.0,Region 9,59037.0,2002
162,0.003299215860788436,215.0,Region 9,64952.0,2003
163,0.0034318520775534424,214.0,Region 9,62143.0,2004
164,0.0031858743719389454,201.0,Region 9,62890.0,2005
165,0.0028252997002997005,181.0,Region 9,63883.0,2006
166,0.002463544137223999,161.0,Region 9,65192.0,2007
167,0.0025281414629323615,179.0,Region 9,70624.0,2008
168,0.002175253375452889,157.0,Region 9,72018.5,2009
169,0.002554313120745642,188.0,Region 9,73413.0,2010
